(base) xiazeyu@d01:/mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/cs
336_basics$ conda activate cs336
(cs336) xiazeyu@d01:/mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/c
s336_basics$ cd /mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/cs336
_basics
(cs336) xiazeyu@d01:/mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/c
s336_basics$ python train_loop.py
模型参数数量: 22,696,448
训练数据加载完成:
  - 文件路径: ../artifacts/tinystories_train.bin
  - Token 总数: 540,803,381
  - 数据类型: uint16
  - 内存占用: 1031.50 MB (虚拟，实际按需加载)
total_steps: 10000

训练设备: cuda
总训练步数: 10000
评估间隔: 100 步
Step 1230/10000 | Train Loss: 2.4653
Step 1240/10000 | Train Loss: 2.3773
Step 1250/10000 | Train Loss: 2.4254
Step 1260/10000 | Train Loss: 2.4593
Step 1270/10000 | Train Loss: 2.4455
Step 1280/10000 | Train Loss: 2.4339
Step 1290/10000 | Train Loss: 2.4408
Step 1300/10000 | Train Loss: 2.4635 | Eval Train Loss: 2.4315
Step 1310/10000 | Train Loss: 2.3782
Step 1320/10000 | Train Loss: 2.4521
Step 1330/10000 | Train Loss: 2.3741
Step 1340/10000 | Train Loss: 2.3891
Step 1350/10000 | Train Loss: 2.3747
Step 1360/10000 | Train Loss: 2.4103
Step 1370/10000 | Train Loss: 2.3512
Step 1380/10000 | Train Loss: 2.3484
Step 1390/10000 | Train Loss: 2.3482
Step 1400/10000 | Train Loss: 2.3860 | Eval Train Loss: 2.3986
Step 1410/10000 | Train Loss: 2.3824
Step 1420/10000 | Train Loss: 2.3314
Step 1430/10000 | Train Loss: 2.3650
Step 1440/10000 | Train Loss: 2.4099
Step 1450/10000 | Train Loss: 2.4031
Step 1460/10000 | Train Loss: 2.3652
Step 1470/10000 | Train Loss: 2.3517
Step 1480/10000 | Train Loss: 2.3604
Step 1490/10000 | Train Loss: 2.3932
Step 1500/10000 | Train Loss: 2.3395 | Eval Train Loss: 2.3688
Step 1510/10000 | Train Loss: 2.3506
Step 1520/10000 | Train Loss: 2.3932
Step 1530/10000 | Train Loss: 2.3411
Step 1540/10000 | Train Loss: 2.3605
Step 1550/10000 | Train Loss: 2.3470
Step 1560/10000 | Train Loss: 2.3519
Step 1570/10000 | Train Loss: 2.3166
Step 1580/10000 | Train Loss: 2.3310
Step 1590/10000 | Train Loss: 2.3341
Step 1600/10000 | Train Loss: 2.4047 | Eval Train Loss: 2.3221
Step 1610/10000 | Train Loss: 2.3303
Step 1620/10000 | Train Loss: 2.3715
Step 1630/10000 | Train Loss: 2.2749
Step 1640/10000 | Train Loss: 2.3454
Step 1650/10000 | Train Loss: 2.3625
Step 1660/10000 | Train Loss: 2.3154
Step 1670/10000 | Train Loss: 2.2988
Step 1680/10000 | Train Loss: 2.3398
Step 1690/10000 | Train Loss: 2.3395
Step 1700/10000 | Train Loss: 2.3520 | Eval Train Loss: 2.3053
Step 1710/10000 | Train Loss: 2.2437
Step 1720/10000 | Train Loss: 2.2504
Step 1730/10000 | Train Loss: 2.2058
